X: 260, Y: 2090
X: 192, Y: 2092
X: 197, Y: 2101
X: 312, Y: 2102
X: 347, Y: 2101
X: 384, Y: 2096
X: 415, Y: 2122
X: 415, Y: 2123
X: 681, Y: 2095
X: 800, Y: 2103
X: 848, Y: 2095
X: 872, Y: 2119
X: 736, Y: 2119
X: 650, Y: 2104
X: 626, Y: 2104
X: 1232, Y: 2095
X: 1357, Y: 2122
X: 1274, Y: 2125
X: 1180, Y: 2117
X: 1296, Y: 2085
X: 1297, Y: 2085
X: 1261, Y: 268
X: 1271, Y: 206
X: 48, Y: 51
X: 228, Y: 14
X: 228, Y: 14
X: 52, Y: 43
X: 1181, Y: 3035
X: 1156, Y: 3027
X: 1261, Y: 3004
X: 1372, Y: 3028
X: 1379, Y: 3037
X: 1181, Y: 3027
X: 1085, Y: 3038
X: 1060, Y: 3030
X: 1191, Y: 3020
X: 1330, Y: 3024
X: 1348, Y: 3017
X: 1383, Y: 3017
X: 1288, Y: 3038
X: 1217, Y: 3027
X: 1142, Y: 3022
X: 1104, Y: 3013
X: 1053, Y: 3026
X: 1076, Y: 3043
X: 1184, Y: 3027
X: 1226, Y: 3009
X: 1339, Y: 3015
X: 1376, Y: 3019
X: 1335, Y: 3046
X: 1244, Y: 3038
X: 1205, Y: 3029
X: 1101, Y: 3023
X: 1073, Y: 3031
X: 1168, Y: 3042
X: 1228, Y: 3027
X: 1340, Y: 3008
X: 1381, Y: 3019
X: 1384, Y: 3039
X: 1256, Y: 3043
X: 1174, Y: 3031
X: 1122, Y: 3017
X: 1107, Y: 3039
X: 1282, Y: 3038
X: 797, Y: 3030
X: 631, Y: 3009
X: 616, Y: 3000
X: 772, Y: 3041
X: 868, Y: 3036
X: 916, Y: 3031
X: 646, Y: 3031
X: 685, Y: 3028
X: 868, Y: 3021
X: 868, Y: 3027
X: 685, Y: 3034
X: 744, Y: 3035
X: 884, Y: 3031
X: 616, Y: 2996
X: 228, Y: 3015
X: 139, Y: 3000
X: 240, Y: 3038
X: 340, Y: 3038
X: 390, Y: 3021
X: 176, Y: 3008
X: 180, Y: 3018
X: 280, Y: 3041
X: 312, Y: 3036
X: 335, Y: 3037
X: 696, Y: 2166
X: 644, Y: 2178
X: 598, Y: 2169
X: 741, Y: 2159
X: 891, Y: 2172
X: 911, Y: 2165
X: 887, Y: 2169
X: 754, Y: 2177
X: 676, Y: 2172
X: 705, Y: 2174
X: 816, Y: 2172
X: 1107, Y: 2157
X: 1291, Y: 2180
X: 1359, Y: 2163
X: 1372, Y: 2162
X: 1190, Y: 2176
X: 1177, Y: 2171
X: 1276, Y: 2169
X: 1284, Y: 2180
X: 1148, Y: 2181
X: 1087, Y: 2189
X: 1132, Y: 2185
X: 1275, Y: 2181
X: 1392, Y: 2175
X: 301, Y: 2156
X: 126, Y: 2161
X: 120, Y: 2177
X: 248, Y: 2193
X: 404, Y: 2189
X: 440, Y: 2180
X: 146, Y: 2173
X: 221, Y: 2177
X: 331, Y: 2176
X: 1271, Y: 2964
X: 1238, Y: 3017
X: 1193, Y: 3066
X: 1292, Y: 3086
X: 1390, Y: 3110
X: 1230, Y: 3116
X: 1182, Y: 3093
X: 1310, Y: 3098
X: 1340, Y: 3109
X: 1148, Y: 3108
X: 1200, Y: 3041
X: 1084, Y: 3057
X: 1288, Y: 3088
X: 1310, Y: 3077
X: 979, Y: 3075
X: 1212, Y: 3089
X: 1255, Y: 3094
X: 1363, Y: 3090
X: 1350, Y: 3084
X: 1200, Y: 2528
X: 1178, Y: 3069
X: 1314, Y: 3076
X: 1325, Y: 3073
X: 1102, Y: 3090
X: 1096, Y: 3087
X: 1336, Y: 3093
X: 1340, Y: 3093
X: 1236, Y: 3073
X: 1246, Y: 343
